web-scraper-order,web-scraper-start-url,pages-link,pages-link-href,superficie,prix,adresse,Image_lien-src
"1716428348-2700","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4698644_uploaded_image1_1713444604.jpg"
"1716428348-2701","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4708254_uploaded_image1_1713951783.jpg"
"1716428348-2702","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain   -Diass","https://sn.coinafrique.com/annonce/terrains/terrain-diass-4671165","Superficie300 m2","1 900 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_4696985_uploaded_image1_1713363090.jpg"
"1716428350-441","https://sn.coinafrique.com/categorie/terrains?page=5","Terrain  200m²- Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-200m-almadies-4683718","Superficie400 m2","250 000 000 CFA","Almadies, Dakar, Sénégal",""
"1716428351-508","https://sn.coinafrique.com/categorie/terrains?page=4","Terrai 150m² - Dougare","https://sn.coinafrique.com/annonce/terrains/terrai-150m-dougare-4698768","Superficie150 m2","30 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1716428351-1716","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 210 m² -  Diamalaye","https://sn.coinafrique.com/annonce/terrains/terrain-210-m-diamalaye-4614471","Superficie210 m2","75 000 000 CFA","Diamalaye 1, Dakar, Sénégal","https://images.coinafrique.com/thumb_4614471_uploaded_image1_1709048957.38.jpeg"
"1716428353-1103","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 2,4 ha -  Saint Louis","https://sn.coinafrique.com/annonce/terrains/terrain-2-4-ha-saint-louis-4699808","Superficie24000 m2","60 000 000 CFA","Dakar, Sénégal",""
"1716428355-442","https://sn.coinafrique.com/categorie/terrains?page=5","Terrain 200m²  - Dakar","https://sn.coinafrique.com/annonce/terrains/terrain-200m-dakar-4683779","Superficie200","17 000 000 CFA","Dakar, Sénégal",""
"1716428356-382","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 150m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-4665503","Superficie150","14 000 000 CFA","Rufisque, Sénégal",""
"1716428356-2703","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4671581_uploaded_image1_1712064559.jpg"
"1716428356-2704","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4132090_uploaded_image2_1678707615.jpeg"
"1716428356-2705","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3746820_uploaded_image1_1655468717.jpg"
"1716428356-2706","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3701384_uploaded_image1_1652881454.jpg"
"1716428356-2707","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3055316_uploaded_image1_1618251769.jpg"
"1716428356-2708","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_2579087_uploaded_image1_1598492933.jpg"
"1716428356-2709","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1874140_uploaded_image1_1585666626.73.png"
"1716428356-2710","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1690952_uploaded_image1_1582409706.75.png"
"1716428356-2711","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1620830_uploaded_image1_1581255545.99.png"
"1716428356-2712","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_2728829_uploaded_image1_1604176929.jpg"
"1716428356-2713","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3419091_uploaded_image1_1635957322.jpg"
"1716428356-2714","https://sn.coinafrique.com/categorie/terrains?page=6","Terrains  - Sebikotane","https://sn.coinafrique.com/annonce/terrains/terrains-sebikotane-4671581","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_2989005_uploaded_image1_1615104254.jpg"
"1716428358-509","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain -  Lac Rose","https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4698962","Superficie150 m2","3 000 000 CFA","Dakar, Sénégal",""
"1716428362-1717","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4747425_uploaded_image1_1715882913.jpg"
"1716428362-1718","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4742316_uploaded_image1_1715672259.jpg"
"1716428362-1719","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4737451_uploaded_image1_1715383616.jpg"
"1716428362-1720","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4671709_uploaded_image1_1712068871.jpg"
"1716428362-1721","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4705249_uploaded_image1_1713800440.jpg"
"1716428362-1722","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4692673_uploaded_image1_1713178012.jpg"
"1716428362-1723","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4689429_uploaded_image1_1712970956.jpg"
"1716428362-1724","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4680200_uploaded_image1_1712476438.jpg"
"1716428362-1725","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4661330_uploaded_image1_1711484553.jpg"
"1716428362-1726","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4643399_uploaded_image1_1710510293.jpg"
